Total Time(s);Time_o1(s);Time_o2(s);var1;var2;var3;var4;o1;o2
3,726000071;3,726000071;0;1;8;9;0;0,007143077;12720,75249
0,52699995;0,52699995;0;6;8;6;6;0,003917028;23164,6197
0,141000032;0,141000032;0;5;8;3;27;0,001588046;17760,15681
15,54500008;15,54500008;0;1;5;12;0;0,012063063;14992,74857
0,130000114;0,130000114;0;3;5;3;14;0,002322052;5598,416036
15,8499999;15,8499999;0;1;5;12;12;0,009799113;17637,84344
0,392000198;0,392000198;0;1;8;6;14;0,003888067;9103,13616
0,222000122;0,222000122;0;1;0;5;12;0,006539323;5158,864735
12,27699995;12,27699995;0;6;8;12;11;0,0067571;52611,3295
0,099999905;0,099999905;0;1;0;3;25;0,003807063;3222,176032
0,103000164;0,103000164;0;6;8;3;9;0,001995057;11887,22533
2,584000111;2,584000111;0;6;6;9;0;0,007476036;31111,73623
0,11500001;0,11500001;0;1;1;3;24;0,003497066;3375,259325
0,125;0,125;0;1;6;3;3;0,002897084;4065,392504
0,106999874;0,106999874;0;6;5;3;19;0,002264051;10678,55756
11,99699998;11,99699998;0;6;0;12;30;0,013044133;49133,4265
4,478999853;4,478999853;0;1;0;10;0;0,016055012;9817,282483
0,099999905;0,099999905;0;4;7;3;5;0,002175059;6935,902529
0,138000011;0,138000011;0;4;8;3;5;0,002006056;7234,187156
0,424000025;0,424000025;0;6;0;6;13;0,006781063;16727,0886
0,472000122;0,472000122;0;1;6;6;9;0,00492104;8112,093083
0,111000061;0,111000061;0;1;4;3;17;0,00285407;3814,342339
0,117999792;0,117999792;0;3;7;3;0;0,002405054;5981,339476
0,112999916;0,112999916;0;3;8;3;17;0,001761045;6414,345004
0,096000195;0,096000195;0;1;3;3;9;0,003430085;3582,25646
0,100000143;0,100000143;0;1;3;3;10;0,00338208;3588,601915
12,07399988;12,07399988;0;6;5;12;13;0,008476106;47717,75354
12,06500006;12,06500006;0;1;0;12;26;0,014955139;17375,52492
0,101999998;0,101999998;0;6;0;3;25;0,003341049;8580,794868
0,121999979;0,121999979;0;6;8;3;20;0,001760045;12181,93866
0,115999937;0,115999937;0;6;0;3;27;0,003293053;8633,409561
0,460000038;0,460000038;0;1;0;6;30;0,006705219;7112,349071
0,11500001;0,11500001;0;1;8;3;30;0,001865062;4713,260693
0,100000143;0,100000143;0;3;0;3;8;0,003937068;4372,917927
0,121999979;0,121999979;0;3;4;3;30;0,002198044;5596,28553
0,100000143;0,100000143;0;4;6;3;10;0,002192052;6695,877018
0,099999905;0,099999905;0;3;0;3;30;0,003136043;4625,029364
0,112999916;0,112999916;0;1;5;3;14;0,00270907;3961,955964
0,133000135;0,133000135;0;2;0;3;28;0,003462054;6645,643401
0,200999975;0,200999975;0;6;6;3;13;0,002225053;11001,29286
12,62899995;12,62800002;0;1;0;12;20;0,014867132;15826,75847
12,75900006;12,75900006;0;5;8;12;4;0,00720108;67887,0895
5,069000006;5,069000006;0;1;0;10;22;0,012029114;12642,00307
13,28100014;13,28100014;0;6;3;12;10;0,010333101;41572,33552
0,453999996;0,453999996;0;6;8;6;28;0,003008145;26849,95817
0,114000082;0,114000082;0;6;4;3;0;0,003198063;9879,405719
0,421000004;0,421000004;0;1;5;6;0;0,006381015;7477,55663
1,534000158;1,534000158;0;1;8;8;25;0,004679243;14161,03851
4,650999784;4,650999784;0;3;6;10;3;0,007509035;18783,5234
0,226999998;0,226999998;0;6;0;5;30;0,004779794;15198,72034
1,453000069;1,453000069;0;3;0;8;19;0,007950263;13031,5083
12,48699999;12,48699999;0;6;0;12;23;0,012886125;44180,72574
