Total Time(s),Time_o1(s),Time_o2(s),Time_o3(s),var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,o1,o2,o3
46.02499985694885,46.0239999294281,0.0,0.0,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,1,1,-66.2316715542522,16.999021891193973,37622.00368558125
46.02199983596802,46.020999908447266,0.0,0.0,0,1,0,1,1,1,2,1,2,1,1,1,1,1,1,2,1,0,1,1,-71.45161290322582,16.696787229466167,47573.861450331606
46.020999908447266,46.019999980926514,0.0,0.0,0,1,2,1,1,1,2,1,2,1,1,0,1,0,0,1,1,0,1,2,-72.18475073313782,15.043151836090917,48514.309661589185
46.019999980926514,46.01900005340576,0.0,0.0,0,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,0,1,1,-67.44868035190616,16.58655960179998,40568.65661526241
46.019999980926514,46.01899981498718,0.0,0.0,0,1,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-72.33137829912023,15.254986935782206,49229.16243086824
46.02199983596802,46.020999908447266,0.0,0.0,0,1,0,1,1,0,1,1,1,0,1,1,1,2,1,1,0,1,1,1,-72.84457478005865,13.854036584317257,47454.32349983454
46.0220000743866,46.0220000743866,0.0,0.0,1,0,1,1,2,0,1,1,2,1,1,0,1,1,0,1,1,0,1,1,-68.95894428152494,17.528110352697656,45082.79248598392
46.019999980926514,46.019999980926514,0.0,0.0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,-67.41935483870967,16.54390724985854,43283.38718860797
41.01900005340576,41.01900005340576,0.0,0.0,0,1,0,1,1,0,2,0,1,1,0,1,1,2,1,1,0,1,1,1,-72.27272727272728,14.440819205783537,46331.146704564315
46.0220000743866,46.021000146865845,0.0,0.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,-66.36363636363636,17.86871493572079,42563.6326215803
46.032999992370605,46.0310001373291,0.0,0.0,1,0,2,2,1,0,1,1,1,0,1,1,2,1,0,2,2,1,2,1,-67.87390029325513,18.011860676677472,40237.88510015953
51.03700017929077,51.032999992370605,0.0,0.0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-68.38709677419355,15.487705727461359,42173.23526970825
46.02400016784668,46.02300000190735,0.0,0.0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,-69.4281524926686,16.809610940773855,44976.54283820969
46.020999908447266,46.019999980926514,0.0,0.0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,0,-72.99120234604106,13.998182208400902,49425.60362081694
