Total Time(s),Time_o1(s),Time_o2(s),Time_o3(s),var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,o1,o2,o3
46.01900005340576,46.01800012588501,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,-70.3958944281525,18.130581931529868,45489.00508091811
81.03599977493286,81.03599977493286,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,-69.38416422287389,18.021137253467916,45012.264666247094
71.02900004386902,71.02900004386902,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,-67.99120234604105,14.792534184631034,35099.530837731334
51.021000146865845,51.021000146865845,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,-61.36363636363636,17.838996505766495,31951.556386504442
51.019999980926514,51.01900005340576,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,-67.56598240469208,14.363168783907414,39272.43544675553
76.03099989891052,76.03099989891052,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,-64.42815249266863,19.63878487496479,38792.14460090193
51.02499985694885,51.02499985694885,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-65.3225806451613,15.295759145555126,37410.18321201167
46.01799988746643,46.01799988746643,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,-69.8533724340176,15.167900034089682,40743.93215439486
71.02700018882751,71.02700018882751,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,-66.87683284457478,16.392072782460552,37245.12414483588
51.0220000743866,51.021000146865845,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-65.41055718475074,16.102905778400107,35516.83185963362
76.03200006484985,76.0310001373291,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,-67.41935483870968,18.688066342057965,41508.67288759031
71.02600002288818,71.02500009536743,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,-66.48093841642228,16.67938130741483,38803.003925622244
51.01900005340576,51.01900005340576,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,-63.50439882697947,17.798252114491046,36422.7971492415
76.03099989891052,76.03099989891052,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,-61.935483870967744,18.248065758138377,36132.79527880339
46.019999980926514,46.019999980926514,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-69.97067448680352,14.456772009847986,42974.21918226864
46.01800012588501,46.01700019836426,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-63.4457478005865,16.531967595990235,34192.093363750086
51.019999980926514,51.01900005340576,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,-65.60117302052785,20.193089740670366,39445.722166471554
66.02900004386902,66.02799987792969,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,-63.21114369501466,17.09572048641347,34930.38684926233
