hypervolume,spacing,onvg
0.8591064045,0.04051283779130789,10.0
0.8591064045,0.04051283779130789,10.0
0.8591064045,0.04051283779130789,10.0
0.8591064045,0.04051283779130789,10.0
0.8591064045,0.04051283779130789,10.0
0.8591064045,0.04051283779130789,10.0
0.86594682,0.03914643278569378,11.0
0.86594682,0.03914643278569378,11.0
0.86594682,0.03914643278569378,11.0
0.86594682,0.03914643278569378,11.0
0.86594682,0.03914643278569378,11.0
0.86594682,0.03914643278569378,11.0
0.8720252867,0.04230437650177837,12.0
0.8720252867,0.04230437650177837,12.0
0.8720252867,0.04230437650177837,12.0
0.8720252867,0.04230437650177837,12.0
0.8720252867,0.04230437650177837,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.873781113,0.03872841118021572,12.0
0.8743260947,0.039079024574185245,13.0
0.8743260947,0.039079024574185245,13.0
0.8743260947,0.039079024574185245,13.0
0.8743260947,0.039079024574185245,13.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8751990913,0.034988066582514105,14.0
0.8790021807,0.03476093359956507,12.0
0.8790021807,0.03476093359956507,12.0
0.8794469652,0.03299411502101721,12.0
0.8794469652,0.03299411502101721,12.0
0.8794469652,0.03299411502101721,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
0.8813126948,0.03371144240394484,12.0
